chr	start	end	gene	region
chr9	136969243	136971990	LINC02692	9:136969243-136971990
chr12	27389789	27446625	ARNTL2-AS1	12:27389789-27446625
chr5	181246493	181272167	CTC-338M12.4	5:181246493-181272167
chr1	170460453	170532647	GORAB-AS1	1:170460453-170532647
chr5	61658474	61698432	LOC101928651	5:61658474-61698432
chr4	177812616	177907936	LINC01099	4:177812616-177907936
chr4	52945649	52958087	LOC101928658	4:52945649-52958087
chr16	87317493	87318043	C16orf95-DT	16:87317493-87318043
chr6	146594516	146598931	ADGB-DT	6:146594516-146598931
chr6	25113693	25261446	LOC101928663	6:25113693-25261446
chr1	173417793	173461362	PRDX6-AS1	1:173417793-173461362
chr17	78360417	78373911	SOCS3-DT	17:78360417-78373911
chrX	135252061	135253583	ETDA	X:135252061-135253583
chr4	181260442	181265145	LINC02500	4:181260442-181265145
chr16	87262759	87292438	LOC101928682	16:87262759-87292438
chr3	176814155	176817001	LINC01209	3:176814155-176817001
chr10	52450874	52755404	LNCAROD	10:52450874-52755404
chr7	39816549	39868140	LOC101928688	7:39816549-39868140
chr21	44802577	44804717	LINC01424	21:44802577-44804717
chr15	58434890	58498735	LIPC-AS1	15:58434890-58498735
chr1	174934947	174954261	RABGAP1L-AS1	1:174934947-174954261
chr13	19182038	19187618	LOC101928697	13:19182038-19187618
chr13	112197350	112201000	LINC01070	13:112197350-112201000
chr7	147080934	147097609	CNTNAP2-AS1	7:147080934-147097609
chr10	16521714	16539737	LOC101928701	10:16521714-16539737
chr12	28549063	28579943	LOC101928705	12:28549063-28579943
chr16	30355441	30357116	CD2BP2-DT	16:30355441-30357116
chr16	87212122	87226430	LOC101928708	16:87212122-87226430
chr17	78605233	78632155	SCAT1	17:78605233-78632155
chr3	177441927	177767379	LOC101928711	3:177441927-177767379
chr7	40538127	40546928	SUGCT-AS1	7:40538127-40546928
chr1	111745299	111755509	LOC101928718	1:111745299-111755509
chr9	107420191	107466613	LINC01509	9:107420191-107466613
chr4	37073681	37133849	LOC101928721	4:37073681-37133849
chr15	58768072	58770974	MINDY2-DT	15:58768072-58770974
chr1	26692132	26694131	LOC101928728	1:26692132-26694131
chr12	93707791	93737823	CRADD-AS1	12:93707791-93737823
chr7	149398204	149401456	LOC101928733	7:149398204-149401456
chr4	183233628	183240634	WWC2-AS1	4:183233628-183240634
chr16	30875222	30895220	MIR762HG	16:30875222-30895220
chr16	87492555	87516940	ZCCHC14-DT	16:87492555-87516940
chr17	79919310	79925999	LINC01978	17:79919310-79925999
chr3	179101366	179147973	PIK3CA-DT	3:179101366-179147973
chr5	66205120	66209893	LINC02065	5:66205120-66209893
chr6	26324705	26331900	LOC101928743	6:26324705-26331900
chr7	40964667	40979939	LINC01450	7:40964667-40979939
chr9	115119539	115138409	LOC101928748	9:115119539-115138409
chr1	175877343	175880468	LINC01657	1:175877343-175880468
chr13	112313467	112321758	LINC01043	13:112313467-112321758
chr16	31039080	31049868	LOC101928762	16:31039080-31049868
chr13	21283487	21298091	LOC101928764	13:21283487-21298091
chr2	228475224	228841689	LINC01807	2:228475224-228841689
chr17	79915252	79926725	LINC01979	17:79915252-79926725
chr14	85911438	86161539	LINC02328	14:85911438-86161539
chr5	784825	786286	LOC101928768	5:784825-786286
chr5	66507380	66511644	LINC02229	5:66507380-66511644
chr6	81813286	81814157	LINC01526	6:81813286-81814157
chr7	41089539	41133507	LINC01449	7:41089539-41133507
chr9	115324932	115744330	LOC101928775	9:115324932-115744330
chr4	38420662	38523180	LINC01258	4:38420662-38523180
chr1	177700524	177712275	LINC01741	1:177700524-177712275
chr10	61452639	61481956	TMEM26-AS1	10:61452639-61481956
chr7	131897641	131948953	LOC101928782	7:131897641-131948953
chr15	60479152	60630637	RORA-AS1	15:60479152-60630637
chr3	179898199	179921895	PEX5L-AS2	3:179898199-179921895
chr14	88018181	88036319	LINC01147	14:88018181-88036319
chr5	67001383	67004080	MAST4-AS1	5:67001383-67004080
chr7	42661716	42706447	LINC01448	7:42661716-42706447
chr9	117643151	117657032	LOC101928797	9:117643151-117657032
chr4	75980790	76005942	SDAD1-AS1	4:75980790-76005942
chr11	45355371	45367577	LINC02696	11:45355371-45367577
chr11	76607853	76630465	LINC02757	11:76607853-76630465
chr14	89349377	89366081	LOC101928817	14:89349377-89366081
chr5	67463809	67475592	LOC101928819	5:67463809-67475592
chr6	85387219	85390186	LINC02535	6:85387219-85390186
chr11	112393118	112624567	LINC02763	11:112393118-112624567
chrX	146854539	146954956	LOC101928832	X:146854539-146954956
chrX	140681106	140689819	LOC101928833	X:140681106-140689819
chr10	19710328	19728550	LOC101928834	10:19710328-19728550
chr1	7441096	7441554	CAMTA1-AS1	1:7441096-7441554
chr11	76782581	76783062	TSKU-AS1	11:76782581-76783062
chr15	24101827	24447967	PWRN3	15:24101827-24447967
chr6	85949690	85998263	LOC101928842	6:85949690-85998263
chr19	5847467	5858239	LOC101928844	19:5847467-5858239
chr19	14333743	14343916	LINC01842	19:14333743-14343916
chr1	113924000	113929495	HIPK1-AS1	1:113924000-113929495
chr11	112959279	112963460	LOC101928847	11:112959279-112963460
chr15	61598514	61605241	LOC101928850	15:61598514-61605241
chr4	57424495	57478341	LINC02380	4:57424495-57478341
chr17	80801640	80805632	LOC101928855	17:80801640-80805632
chr3	180566718	180601935	TTC14-DT	3:180566718-180601935
chr5	1173141	1178605	TERLR1	5:1173141-1178605
chr5	67457621	67806600	LINC02997	5:67457621-67806600
chrX	147279481	147286481	LOC101928863	X:147279481-147286481
chr11	78423982	78429836	LINC02728	11:78423982-78429836
chr1	178511563	178513051	LOC101928866	1:178511563-178513051
chr6	154510791	154522307	LOC101928868	6:154510791-154522307
chr15	27038978	27161319	GABRG3-AS1	15:27038978-27161319
chr11	114159791	114161166	LOC101928875	11:114159791-114161166
chr4	185051081	185115500	LINC02436	4:185051081-185115500
chr16	88186605	88195217	LINC02182	16:88186605-88195217
chr2	233012614	233015885	LOC101928881	2:233012614-233015885
chr3	180661872	180871005	LOC101928882	3:180661872-180871005
chr5	68970692	69030165	LINC02198	5:68970692-69030165
chr19	56066684	56078801	LINC01864	19:56066684-56078801
chr10	64901136	65017639	LINC02671	10:64901136-65017639
chr22	20957092	20964679	LINC01637	22:20957092-20964679
chr11	46123031	46177106	LOC101928894	11:46123031-46177106
chr1	1275223	1280420	LINC01786	1:1275223-1280420
chr11	78533176	78558565	LOC101928896	11:78533176-78558565
chr9	41651658	41654594	LOC101928906	9:41651658-41654594
chr15	62060503	62061274	VPS13C-DT	15:62060503-62061274
chr14	90642638	90648894	TTC7B-AS1	14:90642638-90648894
chr10	65570338	65781067	LINC01515	10:65570338-65781067
chrX	149548210	149549924	HSFX3	X:149548210-149549924
chr11	46256270	46274547	LINC02489	11:46256270-46274547
chr13	25172819	25180079	LINC00463	13:25172819-25180079
chr6	155911195	156397589	LOC101928923	6:155911195-156397589
chr5	69477472	69502466	LOC101928924	5:69477472-69502466
chr4	185918140	185919460	LOC101928929	4:185918140-185919460
chr3	50266631	50267541	SEMA3B-AS1	3:50266631-50267541
chr9	138199933	138203325	LOC101928932	9:138199933-138203325
chr1	179926641	179941796	LOC101928933	1:179926641-179941796
chr12	99093359	99105011	LOC101928937	12:99093359-99105011
chr11	114343052	114396219	LOC101928940	11:114343052-114396219
chrX	119978713	120025138	RHOXF1P1	X:119978713-120025138
chr4	81164922	81193395	PRKG2-AS1	4:81164922-81193395
chr11	47270657	47272110	MADD-AS1	11:47270657-47272110
chr11	80751200	80762826	LINC02720	11:80751200-80762826
chr8	144495458	144505444	LOC101928953	8:144495458-144505444
chr4	82374285	82384027	HNRNPD-DT	4:82374285-82384027
chrX	120036236	120146855	RHOXF1-AS1	X:120036236-120146855
chr4	189659605	189661486	LINC01262	4:189659605-189661486
chr1	181174484	181182208	LINC01732	1:181174484-181182208
chr4	83796436	84299189	LINC02994	4:83796436-84299189
chr1	146052566	146061952	LINC01719	1:146052566-146061952
chr19	56536156	56538575	ZFP28-DT	19:56536156-56538575
chr15	63928274	63935953	LOC101928988	15:63928274-63935953
chr11	81821272	82718082	MIR4300HG	11:81821272-82718082
chr17	2720801	2749652	CCDC92B	17:2720801-2749652
chr3	184725013	184773178	LINC02069	3:184725013-184773178
chr10	69215333	69232490	LOC101928994	10:69215333-69232490
chr1	115904855	115931616	LINC01649	1:115904855-115931616
chr3	51873596	51875767	IQCF5-AS1	3:51873596-51875767
chr14	92905697	92907482	LINC02287	14:92905697-92907482
chr6	89130887	89145985	LOC101929004	6:89130887-89145985
chr6	29223973	29292963	LINC03003	6:29223973-29292963
chr19	21569738	21594628	LOC101929007	19:21569738-21594628
chr7	45769105	45815263	GTF2IP13	7:45769105-45815263
chr20	1633508	1648472	SIRPG-AS1	20:1633508-1648472
chr11	116639422	116658295	LINC02702	11:116639422-116658295
chr4	12223445	12251286	LINC02270	4:12223445-12251286
chr10	69574918	69577165	LOC101929021	10:69574918-69577165
chr7	63394277	63395439	LOC101929022	7:63394277-63395439
chr1	116423724	116478842	LINC01762	1:116423724-116478842
chr10	24952350	25161236	LINC01516	10:24952350-25161236
chr12	31363481	31369301	LINC02387	12:31363481-31369301
chr8	16250398	16693235	LOC101929028	8:16250398-16693235
chr16	33562649	33570935	LOC101929031	16:33562649-33570935
chr5	1855970	1856568	LINC02116	5:1855970-1856568
chr11	83643602	83725390	DLG2-AS2	11:83643602-83725390
chr4	13765933	13840936	LOC101929048	4:13765933-13840936
chr7	63380466	63393657	LOC101929050	7:63380466-63393657
chr10	25651712	25732935	LINC00836	10:25651712-25732935
chr3	52239258	52241097	TWF2-DT	3:52239258-52241097
chr5	1883315	1884758	IRX4-AS1	5:1883315-1884758
chr6	89673469	89675783	MDN1-AS1	6:89673469-89675783
chr12	103151834	103179247	C12orf42-AS1	12:103151834-103179247
chr19	56595313	56823395	ZIM2-AS1	19:56595313-56823395
chr4	86117912	86219926	MAPK10-AS1	4:86117912-86219926
chr8	18084386	18097644	ASAH1-AS1	8:18084386-18097644
chr1	184999710	185008789	LINC01633	1:184999710-185008789
chr4	13655179	13977075	LINC01182	4:13655179-13977075
chr10	25924448	25933710	LOC101929073	10:25924448-25933710
chr1	9672405	9687573	PIK3CD-AS2	1:9672405-9687573
chr15	67834310	67838879	LOC101929076	15:67834310-67838879
chr13	37934298	38066444	LINC02334	13:37934298-38066444
chr14	95319483	95335757	LINC02292	14:95319483-95335757
chr5	1887332	1900493	CTD-2194D22.4	5:1887332-1900493
chr5	74321293	74341017	LINC01333	5:74321293-74341017
chr6	91629915	91690428	CASC6	6:91629915-91690428
chr12	103547751	103578947	LINC02401	12:103547751-103578947
chr7	47608465	47629893	LINC01447	7:47608465-47629893
chr7	63354457	63359306	LOC101929088	7:63354457-63359306
chr11	118510273	118531094	TTC36-AS1	11:118510273-118531094
chr1	185558371	185628944	LINC01350	1:185558371-185628944
chr4	15004942	15427914	C1QTNF7-AS1	4:15004942-15427914
chr1	117025482	117059490	CD101-AS1	1:117025482-117059490
chr3	187197090	187207629	LOC101929106	3:187197090-187207629
chr14	95516136	95517911	LOC101929107	14:95516136-95517911
chr5	76606608	76608970	LOC101929109	5:76606608-76608970
chr12	105704203	105744062	CASC18	12:105704203-105744062
chr6	31441667	31446973	LINC01149	6:31441667-31446973
chr9	126270121	126275918	LOC101929116	9:126270121-126275918
chr10	26577676	26622338	LINC03028	10:26577676-26622338
chr1	190478551	190480735	BRINP3-DT	1:190478551-190480735
chr13	38533343	38545299	LINC00437	13:38533343-38545299
chr6	159165899	159170007	FNDC1-AS1	6:159165899-159170007
chr4	17171757	17186079	LINC02493	4:17171757-17186079
chr19	22520995	22527949	LOC101929124	19:22520995-22527949
chr20	3808357	3823882	LINC01730	20:3808357-3823882
chr9	72656	90820	PGM5P3-AS1	9:72656-90820
chr8	9151772	9256152	LOC101929128	8:9151772-9256152
chr3	187291272	187297933	LOC101929130	3:187291272-187297933
chr4	88523826	88524983	PIGY-DT	4:88523826-88524983
chr13	41132939	41236686	LOC101929140	13:41132939-41236686
chr17	18835707	18842364	LOC101929141	17:18835707-18842364
chr19	23046958	23063705	LINC01858	19:23046958-23063705
chr10	73495525	73520070	PPP3CB-AS1	10:73495525-73520070
chr1	119140391	119275973	WARS2-AS1	1:119140391-119275973
chrY	22438940	22485592	LOC101929148	Y:22438940-22485592
chr15	70570958	70586606	LINC02204	15:70570958-70586606
chr3	190120944	190150162	P3H2-AS1	3:190120944-190150162
chr5	4773481	4774865	LINC02114	5:4773481-4774865
chr5	77958198	77959094	LOC101929154	5:77958198-77959094
chr3	57693205	57696596	DENND6A-DT	3:57693205-57696596
chr12	107736555	107759968	PRDM4-AS1	12:107736555-107759968
chr6	32254640	32407763	TSBP1-AS1	6:32254640-32407763
chr19	23015059	23031818	LINC01859	19:23015059-23031818
chr8	21297933	21309486	LOC101929172	8:21297933-21309486
chr11	88337851	88428548	LOC101929174	11:88337851-88428548
chr5	5132084	5140153	ADAMTS16-DT	5:5132084-5140153
chr9	100804	113754	LINC01388	9:100804-113754
chr10	27343436	27344917	LINC02673	10:27343436-27344917
chr1	11609468	11613358	LINC01647	1:11609468-11613358
chr1	193304745	193365953	LINC01031	1:193304745-193365953
chr17	57988180	57988760	LOC101929185	17:57988180-57988760
chr8	10474565	10482388	LINC03022	8:10474565-10482388
chr4	92268767	92277075	LNCPRESS2	4:92268767-92277075
chr15	71147650	71189064	THSD4-AS1	15:71147650-71189064
chr3	193553213	193555088	ATP13A4-AS1	3:193553213-193555088
chr4	27217479	27282225	LINC02261	4:27217479-27282225
chr5	5390096	5422129	LOC101929200	5:5390096-5422129
chr10	27744786	27767794	MKX-AS1	10:27744786-27767794
chr20	5507875	5510002	LINC01729	20:5507875-5510002
chr4	94117792	94207556	SMARCAD1-DT	4:94117792-94207556
chr13	44110451	44240517	SMIM2-AS1	13:44110451-44240517
chr5	80052374	80083654	THBS4-AS1	5:80052374-80083654
chr10	47207445	47224994	LOC101929216	10:47207445-47224994
chr8	48620465	48623895	LOC101929217	8:48620465-48623895
chr10	28743506	28941910	LINC01517	10:28743506-28941910
chr15	73752317	73770613	INSYN1-AS1	15:73752317-73770613
chr11	90251204	90915052	DISC1FP1	11:90251204-90915052
chr1	200669507	200694250	DDX59-AS1	1:200669507-200694250
chr20	5990943	6005821	MCM8-AS1	20:5990943-6005821
chr11	120867933	120894797	LOC101929227	11:120867933-120894797
chr8	10839964	10847594	PINX1-DT	8:10839964-10847594
chr2	21607465	21649572	LOC101929230	2:21607465-21649572
chr2	149587196	150047447	MMADHC-DT	2:149587196-150047447
chr10	75409142	75411842	LOC101929234	10:75409142-75411842
chr8	22877972	22888022	LOC101929237	8:22877972-22888022
chr3	58824437	59019093	CFAP20DC-AS1	3:58824437-59019093
chr6	163042557	163054161	PACRG-AS2	6:163042557-163054161
chr17	64750420	64751311	LOC101929240	17:64750420-64751311
chr14	97427071	97582146	LINC02325	14:97427071-97582146
chr6	34696317	34697478	ILRUN-AS1	6:34696317-34697478
chr20	6446723	6528459	CASC20	20:6446723-6528459
chr9	3181342	3200445	LINC01231	9:3181342-3200445
chr8	23714066	23743042	LOC101929258	8:23714066-23743042
chr2	150552532	150572221	LINC01920	2:150552532-150572221
chr5	7346986	7348671	LINC02123	5:7346986-7348671
chr20	7146467	7254202	LINC01428	20:7146467-7254202
chr8	48551567	48698510	LOC101929268	8:48551567-48698510
chr8	11062647	11067089	LOC101929269	8:11062647-11067089
chr9	128528657	128552410	LOC101929270	9:128528657-128552410
chr2	25421117	25427643	DTNB-AS1	2:25421117-25427643
chr2	150612381	150635818	LINC02612	2:150612381-150635818
chr5	8839700	8898052	LINC02199	5:8839700-8898052
chr10	77350851	77376613	KCNMA1-AS3	10:77350851-77376613
chr20	7302056	7307432	LINC01751	20:7302056-7307432
chr11	123062655	123084877	LOC101929289	11:123062655-123084877
chr8	11315859	11325429	LOC101929290	8:11315859-11325429
chr8	24295814	24912073	ADAM7-AS1	8:24295814-24912073
chr11	95150539	95209708	LNCRNA-IUR	11:95150539-95209708
chr6	166236969	166256947	LOC101929297	6:166236969-166256947
chr3	97800732	97821923	LOC101929298	3:97800732-97821923
chr9	3668086	3691814	RFX3-DT	9:3668086-3691814
chr1	201023949	201043073	LOC101929305	1:201023949-201043073
chr6	35539838	35546573	LOC101929309	6:35539838-35546573
chr10	77147652	77150100	KCNMA1-AS2	10:77147652-77150100
chr20	7347451	7367933	LINC01706	20:7347451-7367933
chr8	24490312	24514856	ADAM7-AS2	8:24490312-24514856
chr3	64445231	64456070	PRICKLE2-DT	3:64445231-64456070
chr7	65525629	65554744	LOC101929322	7:65525629-65554744
chr10	76888044	76980624	KCNMA1-AS1	10:76888044-76980624
chr20	9505180	9514998	LAMP5-AS1	20:9505180-9514998
chr9	129282426	129286530	LINC02975	9:129282426-129286530
chr3	64561322	64592757	ADAMTS9-AS1	3:64561322-64592757
chr3	194247617	194260720	LINC02037	3:194247617-194260720
chr5	9511333	9518086	SEMA5A-AS1	5:9511333-9518086
chr11	124759129	124766119	ESAM-AS1	11:124759129-124766119
chr8	52194362	52199580	LOC101929341	8:52194362-52199580
chr1	201399633	201401190	LOC101929343	1:201399633-201401190
chr13	46455131	46515958	LINC01198	13:46455131-46515958
chr22	16746628	16748645	LINC01665	22:16746628-16748645
chr9	4676600	4679502	CDC37L1-DT	9:4676600-4679502
chr10	31187715	31261910	LINC02664	10:31187715-31261910
chr4	100190033	100215505	DDIT4L-AS1	4:100190033-100215505
chr13	114154691	114223084	CFAP97D2	13:114154691-114223084
chr2	151788984	151792086	LOC101929356	2:151788984-151792086
chr20	9986088	10043216	PARAL1	20:9986088-10043216
chr22	17580157	17589192	LOC101929372	22:17580157-17589192
chr10	42242721	42276842	LOC101929373	10:42242721-42276842
chr22	23433564	23435071	LINC01659	22:23433564-23435071
chr2	156011530	156254950	LINC01876	2:156011530-156254950
chr5	86967321	87137712	LOC101929380	5:86967321-87137712
chr12	203642	205094	SLC6A12-AS1	12:203642-205094
chr2	29319554	29352214	LOC101929386	2:29319554-29352214
chr16	921033	934495	LMF1-AS1	16:921033-934495
chr2	6366010	6375422	LINC01247	2:6366010-6375422
chr20	10696949	10754033	LINC01752	20:10696949-10754033
chr10	42644445	42691723	LINC01518	10:42644445-42691723
chr8	56494923	56559823	LOC101929398	8:56494923-56559823
chr8	28690215	28702030	EXTL3-AS1	8:28690215-28702030
chr1	30013952	30037612	LINC01648	1:30013952-30037612
chr9	8858127	8864772	PTPRD-AS1	9:8858127-8864772
chr15	75758491	75763322	LOC101929408	15:75758491-75763322
chr5	10493291	10502728	LINC02212	5:10493291-10502728
chr20	10875333	10909279	LOC101929413	20:10875333-10909279
chr8	56445807	56556513	PENK-AS1	8:56445807-56556513
chr2	29841187	30146606	LOC101929418	2:29841187-30146606
chr6	168242938	168262581	LOC101929420	6:168242938-168262581
chr14	101120840	101123545	LINC02285	14:101120840-101123545
chr5	88883328	89466398	MEF2C-AS1	5:88883328-89466398
chr6	38481692	38482531	BTBD9-AS1	6:38481692-38482531
chr11	126652852	126682104	LOC101929427	11:126652852-126682104
chr9	10613202	10620420	PTPRD-DT	9:10613202-10620420
chr10	32413499	32446076	LOC101929431	10:32413499-32446076
chr9	129712896	129718635	PRRX2-AS1	9:129712896-129718635
chr15	76174891	76181486	LOC101929439	15:76174891-76181486
chr16	1408834	1412248	LOC101929440	16:1408834-1412248
chr1	204141404	204143327	ERLNC1	1:204141404-204143327
chr10	42871521	42874060	LINC02623	10:42871521-42874060
chr10	33073486	33116781	IATPR	10:33073486-33116781
chr4	103255826	103454667	LINC02428	4:103255826-103454667
chr8	29748309	29798492	LINC02099	8:29748309-29798492
chr2	7045329	7077916	LOC101929452	2:7045329-7077916
chr5	15112120	15266541	LINC02149	5:15112120-15266541
chr15	77525540	77534110	LOC101929457	15:77525540-77534110
chr1	205233821	205236867	TMCC2-AS1	1:205233821-205236867
chr6	169034197	169035642	LOC101929460	6:169034197-169035642
chr1	33350352	33363245	PHC2-AS1	1:33350352-33363245
chr9	12698554	12814377	LURAP1L-AS1	9:12698554-12814377
chr4	104490849	104734546	CXXC4-AS1	4:104490849-104734546
chr12	2849046	2857039	TEX52	12:2849046-2857039
chr8	29815004	29854543	LOC101929470	8:29815004-29854543
chr5	15602189	15619109	CTD-2350J17.1	5:15602189-15619109
chr11	127021751	127101320	LOC101929473	11:127021751-127101320
chr10	32958437	33082409	ITGB1-DT	10:32958437-33082409
chr1	209367662	209380518	LINC01698	1:209367662-209380518
chr15	77660052	77668074	LINGO1-AS2	15:77660052-77668074
chr15	85180200	85234795	LOC101929479	15:85180200-85234795
chr16	1713527	1714219	MAPK8IP3-AS1	16:1713527-1714219
chr6	169157162	169163007	LINC01615	6:169157162-169163007
chr3	106367979	106557391	LOC101929485	3:106367979-106557391
chr20	12865202	12952519	LINC01722	20:12865202-12952519
chr8	57341021	57365444	LOC101929488	8:57341021-57365444
chr8	31275542	31390805	LOC101929492	8:31275542-31390805
chr17	38450394	38452444	LOC101929494	17:38450394-38452444
chr5	90153052	90290078	LINC01339	5:90153052-90290078
chr11	127271029	127337033	LINC02712	11:127271029-127337033
chr6	169175277	169182841	LINC02544	6:169175277-169182841
chr5	16373361	16440081	LINC02150	5:16373361-16440081
chr10	79660891	79677996	LOC101929506	10:79660891-79677996
chr2	7671330	7675736	LOC101929510	2:7671330-7675736
chr17	82290046	82292814	LINC01970	17:82290046-82292814
chr2	161222785	161308389	PSMD14-DT	2:161222785-161308389
chr1	39565052	39573860	PABPC4-AS1	1:39565052-39573860
chr11	128526142	128530389	ETS1-AS1	11:128526142-128530389
chr10	37309185	37347031	LINC00993	10:37309185-37347031
chr6	169213254	169245773	THBS2-AS1	6:169213254-169245773
chr5	16615926	16681905	RETREG1-AS1	5:16615926-16681905
chr20	18674395	18698709	DTD1-AS1	20:18674395-18698709
chr8	58255771	58272137	LOC101929528	8:58255771-58272137
chr4	105746245	105827172	GSTCD-AS1	4:105746245-105827172
chr2	7725710	7731575	LINC01871	2:7725710-7731575
chr2	162159762	162173223	LOC101929532	2:162159762-162173223
chr3	106630469	107240663	LOC101929534	3:106630469-107240663
chr6	40713411	40715363	LOC101929535	6:40713411-40715363
chr1	39788976	39790171	LOC101929536	1:39788976-39790171
chr11	128629653	128686922	LOC101929538	11:128629653-128686922
chr22	26903292	26920935	LINC01422	22:26903292-26920935
chr10	38407631	38417204	LOC101929540	10:38407631-38417204
chr1	212180141	212285084	LINC02608	1:212180141-212285084
chr2	37325340	37326797	PRKD3-DT	2:37325340-37326797
chr5	17403889	17443619	LINC02217	5:17403889-17443619
chr20	19208652	19212164	LOC101929547	20:19208652-19212164
chr9	20683304	20684688	FOCAD-AS1	9:20683304-20684688
chr12	4700417	4720102	GAU1	12:4700417-4720102
chr8	35672195	35707734	LOC101929550	8:35672195-35707734
chr2	7886767	7899725	LOC101929551	2:7886767-7899725
chr17	82713908	82716255	LOC101929552	17:82713908-82716255
chr11	129612116	129617269	LINC01395	11:129612116-129617269
chr2	37820498	37876274	LINC00211	2:37820498-37876274
chr15	80344853	80404214	ARNT2-DT	15:80344853-80404214
chr9	23500691	23672399	LOC101929563	9:23500691-23672399
chr1	212545694	212556065	LINC01740	1:212545694-212556065
chr16	2866325	2868251	LOC101929566	16:2866325-2868251
chr2	8461703	8592903	LINC01814	2:8461703-8592903
chr2	162768936	162797972	KCNH7-AS1	2:162768936-162797972
chr14	19420975	19425017	LOC101929572	14:19420975-19425017
chr10	80529592	80536026	TSPAN14-AS1	10:80529592-80536026
chr20	20258407	20267809	CFAP61-AS1	20:20258407-20267809
chr4	106003317	106022478	LOC101929577	4:106003317-106022478
chr17	39238466	39250818	LOC101929578	17:39238466-39250818
chr3	107272630	107421356	CCDC54-AS1	3:107272630-107421356
chr7	66848496	66858136	GTF2IP23	7:66848496-66858136
chr9	25780032	25844585	LINC01241	9:25780032-25844585
chr9	64637845	64652556	LOC101929583	9:64637845-64652556
chr12	5226196	5244199	LINC02443	12:5226196-5244199
chr15	80554609	80562944	LOC101929586	15:80554609-80562944
chr10	82228985	82232920	NRG3-AS1	10:82228985-82232920
chr20	21154023	21218289	KIZ-AS1	20:21154023-21218289
chr1	43709392	43727343	ST3GAL3-AS1	1:43709392-43727343
chr4	107863473	107989692	CYP2U1-AS1	4:107863473-107989692
chr2	38406527	38515934	LINC02613	2:38406527-38515934
chr5	70775506	70778475	LOC101929599	5:70775506-70778475
chr9	26955780	26956295	IFT74-AS1	9:26955780-26956295
chr3	107430892	107463912	LINC01990	3:107430892-107463912
chr20	21610787	21703585	LINC01726	20:21610787-21703585
chr1	43944355	43946601	LOC101929609	1:43944355-43946601
chr6	170147195	170150941	LOC101929614	6:170147195-170150941
chr5	22754227	22766824	LOC101929617	5:22754227-22766824
chr9	31371611	31381490	LINC01243	9:31371611-31381490
chr8	37717579	37733756	LOC101929622	8:37717579-37733756
chr3	108125821	108138610	LINC01215	3:108125821-108138610
chr10	85193421	85197958	LINC01519	10:85193421-85197958
chr20	21557417	21666621	LINC01727	20:21557417-21666621
chr1	46134531	46139081	LOC101929626	1:46134531-46139081
chr8	61785047	61944180	LINC02842	8:61785047-61944180
chr1	218043505	218059140	LINC01653	1:218043505-218059140
chr2	164840661	165094117	LOC101929633	2:164840661-165094117
chr14	104661120	104665558	LINC02280	14:104661120-104665558
chr11	131622451	131663583	NTM-AS1	11:131622451-131663583
chr9	33166948	33182865	B4GALT1-AS1	9:33166948-33182865
chr10	85420379	85432775	LINC02647	10:85420379-85432775
chr17	83135734	83221442	LOC101929650	17:83135734-83221442
chr1	46446600	46451317	LINC01398	1:46446600-46451317
chr11	131502735	131540867	LOC101929653	11:131502735-131540867
chr15	81324338	81516976	TMC3-AS1	15:81324338-81516976
chr13	52128891	52132723	LOC101929657	13:52128891-52132723
chr5	28809331	29217115	LINC02109	5:28809331-29217115
chr10	85432863	85448961	LOC101929662	10:85432863-85448961
chr20	22263065	22284029	LINC01427	20:22263065-22284029
chr22	30008742	30080480	HORMAD2-AS1	22:30008742-30080480
chr2	40511984	40545781	LOC101929667	2:40511984-40545781
chr15	85754941	85756237	LINC02883	15:85754941-85756237
chr2	165957401	166390771	SCN1A-AS1	2:165957401-166390771
chr5	29304305	29396095	LINC02064	5:29304305-29396095
chr10	85449592	85492001	LINC01520	10:85449592-85492001
chr20	22587522	22607517	LNCNEF	20:22587522-22607517
chr9	33732975	33738416	UBE2R2-AS1	9:33732975-33738416
chr15	82088569	82097694	LINC01583	15:82088569-82097694
chr2	10287704	10302485	LOC101929691	2:10287704-10302485
chr6	170612622	170738203	LOC101929692	6:170612622-170738203
chr17	40340867	40343136	RARA-AS1	17:40340867-40343136
chr3	112736447	112749319	LINC02042	3:112736447-112749319
chr5	139740951	139747406	PSD2-AS1	5:139740951-139747406
chr3	195836193	195860404	LINC01983	3:195836193-195860404
chr20	32509959	32520285	LOC101929698	20:32509959-32520285
chr2	40746481	40767452	LINC01794	2:40746481-40767452
chr15	86078809	86116747	LINC01584	15:86078809-86116747
chr5	34837549	34839278	TTC23L-AS1	5:34837549-34839278
chr6	43931572	44074655	SCIRT	6:43931572-44074655
chr20	22995708	23030785	LOC101929707	20:22995708-23030785
chr8	89545424	89757812	RIPK2-DT	8:89545424-89757812
chr5	95962001	96631085	LOC101929710	5:95962001-96631085
chr2	10448689	10457693	ODC1-DT	2:10448689-10457693
chr6	108922976	108924103	ARMC2-AS1	6:108922976-108924103
chr3	113142350	113167819	LINC02044	3:113142350-113167819
chr14	20995837	21014822	LOC101929718	14:20995837-21014822
chr5	140157319	140173051	LOC101929719	5:140157319-140173051
chr1	49257411	49269285	AGBL4-AS1	1:49257411-49269285
chr2	41931599	41933909	LINC01914	2:41931599-41933909
chr6	44216926	44218234	MYMX	6:44216926-44218234
